movieId,title,genres,language
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,English
2,Jumanji (1995),Adventure|Children|Fantasy,English
3,Grumpier Old Men (1995),Comedy|Romance,English
4,Waiting to Exhale (1995),Comedy|Drama|Romance,English
5,Father of the Bride Part II (1995),Comedy,English
6,Heat (1995),Action|Crime|Thriller,English
7,Sabrina (1995),Comedy|Romance,English
8,Tom and Huck (1995),Adventure|Children,English
9,Sudden Death (1995),Action,English
10,GoldenEye (1995),Action|Adventure|Thriller,English
11,"American President, The (1995)",Comedy|Drama|Romance,English
12,Dracula: Dead and Loving It (1995),Comedy|Horror,English
13,Balto (1995),Adventure|Animation|Children,English
14,Nixon (1995),Drama,English
15,Cutthroat Island (1995),Action|Adventure|Romance,English
16,Casino (1995),Crime|Drama,English
17,Sense and Sensibility (1995),Drama|Romance,English
18,Four Rooms (1995),Comedy,English
19,Ace Ventura: When Nature Calls (1995),Comedy,English
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,English
21,Get Shorty (1995),Comedy|Crime|Thriller,English
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,English
23,Assassins (1995),Action|Crime|Thriller,English
24,Powder (1995),Drama|Sci-Fi,English
25,Leaving Las Vegas (1995),Drama|Romance,English
26,Othello (1995),Drama,English
27,Now and Then (1995),Children|Drama,English
28,Persuasion (1995),Drama|Romance,English
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,English
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,English
31,Dangerous Minds (1995),Drama,English
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,English
34,Babe (1995),Children|Drama,English
36,Dead Man Walking (1995),Crime|Drama,English
38,It Takes Two (1995),Children|Comedy,English
39,Clueless (1995),Comedy|Romance,English
40,"Cry, the Beloved Country (1995)",Drama,English
41,Richard III (1995),Drama|War,English
42,Dead Presidents (1995),Action|Crime|Drama,English
43,Restoration (1995),Drama,English
44,Mortal Kombat (1995),Action|Adventure|Fantasy,English
45,To Die For (1995),Comedy|Drama|Thriller,English
46,How to Make an American Quilt (1995),Drama|Romance,English
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,English
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,English
49,When Night Is Falling (1995),Drama|Romance,English
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,English
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,English
53,Lamerica (1994),Adventure|Drama,English
54,"Big Green, The (1995)",Children|Comedy,English
55,Georgia (1995),Drama,English
57,Home for the Holidays (1995),Drama,English
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,English
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,English
61,Eye for an Eye (1996),Drama|Thriller,English
62,Mr. Holland's Opus (1995),Drama,English
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,English
64,Two if by Sea (1996),Comedy|Romance,English
65,Bio-Dome (1996),Comedy,English
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,English
68,French Twist (Gazon maudit) (1995),Comedy|Romance,English
69,Friday (1995),Comedy,English
